; ------------------------------------------------
; |       SCELBI'S GALAXY GAME       |
; |           FOR THE 8080           |
; ------------------------------------------------
+ Print Program Bytes and description.
++ Address:16-bit bytes       databyte :hex:oct > description
++       0:00000000 00000000: 00000010 : 02:002 > dbbyte: 2
++       1:00000000 00000001: 00000000 : 00:000 > dbbyte: 0
++       2:00000000 00000010: 00000010 : 02:002 > dbbyte: 2
++       3:00000000 00000011: 11111111 : FF:377 > dbbyte: 255
++       4:00000000 00000100: 00000010 : 02:002 > dbbyte: 2
++       5:00000000 00000101: 11111110 : FE:376 > dbbyte: 254
++       6:00000000 00000110: 00000001 : 01:001 > dbbyte: 1
++       7:00000000 00000111: 11111110 : FE:376 > dbbyte: 254
++       8:00000000 00001000: 00000000 : 00:000 > dbbyte: 000
++       9:00000000 00001001: 11111110 : FE:376 > dbbyte: 254
++      10:00000000 00001010: 11111111 : FF:377 > dbbyte: 255
++      11:00000000 00001011: 11111110 : FE:376 > dbbyte: 254
++      12:00000000 00001100: 11111110 : FE:376 > dbbyte: 254
++      13:00000000 00001101: 11111110 : FE:376 > dbbyte: 254
++      14:00000000 00001110: 11111110 : FE:376 > dbbyte: 254
++      15:00000000 00001111: 11111111 : FF:377 > dbbyte: 255
++      16:00000000 00010000: 11111110 : FE:376 > dbbyte: 254
++      17:00000000 00010001: 00000000 : 00:000 > dbbyte: 000
++      18:00000000 00010010: 11111110 : FE:376 > dbbyte: 254
++      19:00000000 00010011: 00000001 : 01:001 > dbbyte: 001
++      20:00000000 00010100: 11111110 : FE:376 > dbbyte: 254
++      21:00000000 00010101: 00000010 : 02:002 > dbbyte: 002
++      22:00000000 00010110: 11111111 : FF:377 > dbbyte: 255
++      23:00000000 00010111: 00000010 : 02:002 > dbbyte: 002
++      24:00000000 00011000: 00000000 : 00:000 > dbbyte: 000
++      25:00000000 00011001: 00000010 : 02:002 > dbbyte: 002
++      26:00000000 00011010: 00000001 : 01:001 > dbbyte: 001
++      27:00000000 00011011: 00000010 : 02:002 > dbbyte: 002
++      28:00000000 00011100: 00000010 : 02:002 > dbbyte: 002
++      29:00000000 00011101: 00000010 : 02:002 > dbbyte: 002
++      30:00000000 00011110: 00000010 : 02:002 > dbbyte: 002
++      31:00000000 00011111: 00000001 : 01:001 > dbbyte: 001
++      32:00000000 00100000: 00000000 : 00:000 > dsname: org : 0
++      33:00000000 00100001: 00000000 : 00:000 > dsname: org : 0
++      34:00000000 00100010: 00000000 : 00:000 > dsname: org : 0
++      35:00000000 00100011: 00000000 : 00:000 > dsname: org : 0
++      36:00000000 00100100: 00000000 : 00:000 > dsname: org : 0
++      37:00000000 00100101: 00000000 : 00:000 > dsname: org : 0
++      38:00000000 00100110: 00000000 : 00:000 > dsname: org : 0
++      39:00000000 00100111: 00000000 : 00:000 > dsname: org : 0
++      40:00000000 00101000: 00000000 : 00:000 > dbbyte: 000
++      41:00000000 00101001: 00000000 : 00:000 > dbbyte: 000
++      42:00000000 00101010: 00000000 : 00:000 > dbbyte: 000
++      43:00000000 00101011: 00000000 : 00:000 > dbbyte: 000
++      44:00000000 00101100: 00000000 : 00:000 > dsname: org : 0
++      45:00000000 00101101: 00000000 : 00:000 > dsname: org : 0
++      46:00000000 00101110: 00000000 : 00:000 > dsname: org : 0
++      47:00000000 00101111: 00000000 : 00:000 > dsname: org : 0
++      48:00000000 00110000: 00000000 : 00:000 > dbbyte: 000
++      49:00000000 00110001: 00000000 : 00:000 > dbbyte: 000
++      50:00000000 00110010: 00000000 : 00:000 > dbbyte: 000
++      51:00000000 00110011: 00000000 : 00:000 > dbbyte: 000
++      52:00000000 00110100: 00000000 : 00:000 > dsname: org : 0
++      53:00000000 00110101: 00000000 : 00:000 > dsname: org : 0
++      54:00000000 00110110: 00000000 : 00:000 > dsname: org : 0
++      55:00000000 00110111: 00000000 : 00:000 > dsname: org : 0
++      56:00000000 00111000: 00000000 : 00:000 > dsname: org : 0
++      57:00000000 00111001: 00000000 : 00:000 > dsname: org : 0
++      58:00000000 00111010: 00000000 : 00:000 > dsname: org : 0
++      59:00000000 00111011: 00000000 : 00:000 > dsname: org : 0
++      60:00000000 00111100: 00000000 : 00:000 > dsname: org : 0
++      61:00000000 00111101: 00000000 : 00:000 > dsname: org : 0
++      62:00000000 00111110: 00000000 : 00:000 > dsname: org : 0
++      63:00000000 00111111: 00000000 : 00:000 > dsname: org : 0
++      64:00000000 01000000: 00000000 : 00:000 > dbbyte: 000
++      65:00000000 01000001: 00000000 : 00:000 > dbbyte: 000
++      66:00000000 01000010: 00000000 : 00:000 > dbbyte: 000
++      67:00000000 01000011: 00000000 : 00:000 > dbbyte: 000
++      68:00000000 01000100: 00000000 : 00:000 > dbbyte: 000
++      69:00000000 01000101: 00000000 : 00:000 > dbbyte: 000
